Time,LD_1/P1,LD_2/P1,LD_4/P1,LD_5/P1,LD_6/P1,LD_7/P1,LD_9/P1,LD_10/P1,LD_11/P1,LD_12/P1,LD_16/P1,LD_17/P1,LD_19/P1,LD_20/P1,LD_22/P1,LD_24/P1,LD_28/P1,LD_29/P1,LD_30/P1,LD_31/P1,LD_32/P1,LD_33/P1,LD_34/P1,LD_35/P1,LD_37/P1,LD_38/P1,LD_39/P1,LD_41/P1,LD_42/P1,LD_43/P1,LD_45/P1,LD_46/P1,LD_47/P1,LD_47/P2,LD_47/P3,LD_48/P1,LD_48/P2,LD_48/P3,LD_49/P1,LD_49/P2,LD_49/P3,LD_50/P1,LD_51/P1,LD_52/P1,LD_53/P1,LD_55/P1,LD_56/P1,LD_58/P1,LD_59/P1,LD_60/P1,LD_62/P1,LD_63/P1,LD_64/P1,LD_65/P1,LD_65/P2,LD_65/P3,LD_66/P1,LD_68/P1,LD_69/P1,LD_70/P1,LD_71/P1,LD_73/P1,LD_74/P1,LD_75/P1,LD_76/P1,LD_76/P2,LD_76/P3,LD_77/P1,LD_79/P1,LD_80/P1,LD_82/P1,LD_83/P1,LD_84/P1,LD_85/P1,LD_86/P1,LD_87/P1,LD_88/P1,LD_90/P1,LD_92/P1,LD_94/P1,LD_95/P1,LD_96/P1,LD_98/P1,LD_99/P1,LD_100/P1,LD_102/P1,LD_103/P1,LD_104/P1,LD_106/P1,LD_107/P1,LD_109/P1,LD_111/P1,LD_112/P1,LD_113/P1,LD_114/P1,LD_1/Q1,LD_2/Q1,LD_4/Q1,LD_5/Q1,LD_6/Q1,LD_7/Q1,LD_9/Q1,LD_10/Q1,LD_11/Q1,LD_12/Q1,LD_16/Q1,LD_17/Q1,LD_19/Q1,LD_20/Q1,LD_22/Q1,LD_24/Q1,LD_28/Q1,LD_29/Q1,LD_30/Q1,LD_31/Q1,LD_32/Q1,LD_33/Q1,LD_34/Q1,LD_35/Q1,LD_37/Q1,LD_38/Q1,LD_39/Q1,LD_41/Q1,LD_42/Q1,LD_43/Q1,LD_45/Q1,LD_46/Q1,LD_47/Q1,LD_47/Q2,LD_47/Q3,LD_48/Q1,LD_48/Q2,LD_48/Q3,LD_49/Q1,LD_49/Q2,LD_49/Q3,LD_50/Q1,LD_51/Q1,LD_52/Q1,LD_53/Q1,LD_55/Q1,LD_56/Q1,LD_58/Q1,LD_59/Q1,LD_60/Q1,LD_62/Q1,LD_63/Q1,LD_64/Q1,LD_65/Q1,LD_65/Q2,LD_65/Q3,LD_66/Q1,LD_68/Q1,LD_69/Q1,LD_70/Q1,LD_71/Q1,LD_73/Q1,LD_74/Q1,LD_75/Q1,LD_76/Q1,LD_76/Q2,LD_76/Q3,LD_77/Q1,LD_79/Q1,LD_80/Q1,LD_82/Q1,LD_83/Q1,LD_84/Q1,LD_85/Q1,LD_86/Q1,LD_87/Q1,LD_88/Q1,LD_90/Q1,LD_92/Q1,LD_94/Q1,LD_95/Q1,LD_96/Q1,LD_98/Q1,LD_99/Q1,LD_100/Q1,LD_102/Q1,LD_103/Q1,LD_104/Q1,LD_106/Q1,LD_107/Q1,LD_109/Q1,LD_111/Q1,LD_112/Q1,LD_113/Q1,LD_114/Q1
531,7.6922,3.302,7.6922,3.8461,6.604,3.8461,7.6922,3.302,7.6922,3.8461,6.604,3.8461,7.6922,6.604,7.6922,7.6922,6.604,7.6922,7.6922,3.302,3.8461,7.6922,6.604,7.6922,7.6922,3.302,3.8461,3.8461,3.302,7.6922,3.8461,3.302,6.7307,6.7307,6.7307,13.461,13.461,13.461,5.7785,11.557,5.7785,7.6922,3.8461,6.604,7.6922,3.8461,3.302,3.8461,3.8461,3.302,7.6922,7.6922,12.383,6.7307,6.7307,13.461,14.423,3.302,7.6922,3.8461,6.604,7.6922,7.6922,6.604,20.192,13.461,13.461,7.6922,6.604,7.6922,7.6922,3.302,3.8461,7.6922,3.302,7.6922,7.6922,6.604,7.6922,7.6922,3.302,3.8461,7.6922,6.604,7.6922,3.8461,6.604,7.6922,7.6922,6.604,7.6922,3.8461,3.302,7.6922,3.8461,6.1034,2.7796,6.1034,3.0517,5.5593,3.0517,6.1034,2.7796,6.1034,3.0517,5.5593,3.0517,6.1034,5.5593,6.1034,6.1034,5.5593,6.1034,6.1034,2.7796,3.0517,6.1034,5.5593,6.1034,6.1034,2.7796,3.0517,3.0517,2.7796,6.1034,3.0517,2.7796,7.6292,7.6292,7.6292,15.258,15.258,15.258,6.9491,13.898,5.5593,6.1034,3.0517,5.5593,6.1034,3.0517,2.7796,3.0517,3.0517,2.7796,6.1034,6.1034,9.7287,7.6292,7.6292,15.258,10.681,2.7796,6.1034,3.0517,5.5593,6.1034,6.1034,5.5593,24.414,15.258,15.258,6.1034,5.5593,6.1034,6.1034,2.7796,3.0517,6.1034,2.7796,6.1034,6.1034,5.5593,6.1034,6.1034,2.7796,3.0517,6.1034,5.5593,6.1034,3.0517,5.5593,6.1034,6.1034,5.5593,6.1034,3.0517,2.7796,6.1034,3.0517
532,7.7302,3.3892,7.7302,3.8651,6.7784,3.8651,7.7302,3.3892,7.7302,3.8651,6.7784,3.8651,7.7302,6.7784,7.7302,7.7302,6.7784,7.7302,7.7302,3.3892,3.8651,7.7302,6.7784,7.7302,7.7302,3.3892,3.8651,3.8651,3.3892,7.7302,3.8651,3.3892,6.7639,6.7639,6.7639,13.528,13.528,13.528,5.9311,11.862,5.9311,7.7302,3.8651,6.7784,7.7302,3.8651,3.3892,3.8651,3.8651,3.3892,7.7302,7.7302,12.71,6.7639,6.7639,13.528,14.494,3.3892,7.7302,3.8651,6.7784,7.7302,7.7302,6.7784,20.292,13.528,13.528,7.7302,6.7784,7.7302,7.7302,3.3892,3.8651,7.7302,3.3892,7.7302,7.7302,6.7784,7.7302,7.7302,3.3892,3.8651,7.7302,6.7784,7.7302,3.8651,6.7784,7.7302,7.7302,6.7784,7.7302,3.8651,3.3892,7.7302,3.8651,6.1349,2.8295,6.1349,3.0675,5.659,3.0675,6.1349,2.8295,6.1349,3.0675,5.659,3.0675,6.1349,5.659,6.1349,6.1349,5.659,6.1349,6.1349,2.8295,3.0675,6.1349,5.659,6.1349,6.1349,2.8295,3.0675,3.0675,2.8295,6.1349,3.0675,2.8295,7.6686,7.6686,7.6686,15.337,15.337,15.337,7.0738,14.148,5.659,6.1349,3.0675,5.659,6.1349,3.0675,2.8295,3.0675,3.0675,2.8295,6.1349,6.1349,9.9033,7.6686,7.6686,15.337,10.736,2.8295,6.1349,3.0675,5.659,6.1349,6.1349,5.659,24.54,15.337,15.337,6.1349,5.659,6.1349,6.1349,2.8295,3.0675,6.1349,2.8295,6.1349,6.1349,5.659,6.1349,6.1349,2.8295,3.0675,6.1349,5.659,6.1349,3.0675,5.659,6.1349,6.1349,5.659,6.1349,3.0675,2.8295,6.1349,3.0675
533,7.7682,3.2317,7.7682,3.8841,6.4634,3.8841,7.7682,3.2317,7.7682,3.8841,6.4634,3.8841,7.7682,6.4634,7.7682,7.7682,6.4634,7.7682,7.7682,3.2317,3.8841,7.7682,6.4634,7.7682,7.7682,3.2317,3.8841,3.8841,3.2317,7.7682,3.8841,3.2317,6.7971,6.7971,6.7971,13.594,13.594,13.594,5.6555,11.311,5.6555,7.7682,3.8841,6.4634,7.7682,3.8841,3.2317,3.8841,3.8841,3.2317,7.7682,7.7682,12.119,6.7971,6.7971,13.594,14.565,3.2317,7.7682,3.8841,6.4634,7.7682,7.7682,6.4634,20.391,13.594,13.594,7.7682,6.4634,7.7682,7.7682,3.2317,3.8841,7.7682,3.2317,7.7682,7.7682,6.4634,7.7682,7.7682,3.2317,3.8841,7.7682,6.4634,7.7682,3.8841,6.4634,7.7682,7.7682,6.4634,7.7682,3.8841,3.2317,7.7682,3.8841,6.1664,2.757,6.1664,3.0832,5.5141,3.0832,6.1664,2.757,6.1664,3.0832,5.5141,3.0832,6.1664,5.5141,6.1664,6.1664,5.5141,6.1664,6.1664,2.757,3.0832,6.1664,5.5141,6.1664,6.1664,2.757,3.0832,3.0832,2.757,6.1664,3.0832,2.757,7.7081,7.7081,7.7081,15.416,15.416,15.416,6.8926,13.785,5.5141,6.1664,3.0832,5.5141,6.1664,3.0832,2.757,3.0832,3.0832,2.757,6.1664,6.1664,9.6496,7.7081,7.7081,15.416,10.791,2.757,6.1664,3.0832,5.5141,6.1664,6.1664,5.5141,24.666,15.416,15.416,6.1664,5.5141,6.1664,6.1664,2.757,3.0832,6.1664,2.757,6.1664,6.1664,5.5141,6.1664,6.1664,2.757,3.0832,6.1664,5.5141,6.1664,3.0832,5.5141,6.1664,6.1664,5.5141,6.1664,3.0832,2.757,6.1664,3.0832
534,7.7786,3.4082,7.7786,3.8893,6.8163,3.8893,7.7786,3.4082,7.7786,3.8893,6.8163,3.8893,7.7786,6.8163,7.7786,7.7786,6.8163,7.7786,7.7786,3.4082,3.8893,7.7786,6.8163,7.7786,7.7786,3.4082,3.8893,3.8893,3.4082,7.7786,3.8893,3.4082,6.8063,6.8063,6.8063,13.613,13.613,13.613,5.9643,11.929,5.9643,7.7786,3.8893,6.8163,7.7786,3.8893,3.4082,3.8893,3.8893,3.4082,7.7786,7.7786,12.781,6.8063,6.8063,13.613,14.585,3.4082,7.7786,3.8893,6.8163,7.7786,7.7786,6.8163,20.419,13.613,13.613,7.7786,6.8163,7.7786,7.7786,3.4082,3.8893,7.7786,3.4082,7.7786,7.7786,6.8163,7.7786,7.7786,3.4082,3.8893,7.7786,6.8163,7.7786,3.8893,6.8163,7.7786,7.7786,6.8163,7.7786,3.8893,3.4082,7.7786,3.8893,6.1842,2.8515,6.1842,3.0921,5.7031,3.0921,6.1842,2.8515,6.1842,3.0921,5.7031,3.0921,6.1842,5.7031,6.1842,6.1842,5.7031,6.1842,6.1842,2.8515,3.0921,6.1842,5.7031,6.1842,6.1842,2.8515,3.0921,3.0921,2.8515,6.1842,3.0921,2.8515,7.7303,7.7303,7.7303,15.461,15.461,15.461,7.1288,14.258,5.7031,6.1842,3.0921,5.7031,6.1842,3.0921,2.8515,3.0921,3.0921,2.8515,6.1842,6.1842,9.9804,7.7303,7.7303,15.461,10.822,2.8515,6.1842,3.0921,5.7031,6.1842,6.1842,5.7031,24.737,15.461,15.461,6.1842,5.7031,6.1842,6.1842,2.8515,3.0921,6.1842,2.8515,6.1842,6.1842,5.7031,6.1842,6.1842,2.8515,3.0921,6.1842,5.7031,6.1842,3.0921,5.7031,6.1842,6.1842,5.7031,6.1842,3.0921,2.8515,6.1842,3.0921
535,7.7507,4.004,7.7507,3.8753,8.0081,3.8753,7.7507,4.004,7.7507,3.8753,8.0081,3.8753,7.7507,8.0081,7.7507,7.7507,8.0081,7.7507,7.7507,4.004,3.8753,7.7507,8.0081,7.7507,7.7507,4.004,3.8753,3.8753,4.004,7.7507,3.8753,4.004,6.7819,6.7819,6.7819,13.564,13.564,13.564,7.0071,14.014,7.0071,7.7507,3.8753,8.0081,7.7507,3.8753,4.004,3.8753,3.8753,4.004,7.7507,7.7507,15.015,6.7819,6.7819,13.564,14.533,4.004,7.7507,3.8753,8.0081,7.7507,7.7507,8.0081,20.346,13.564,13.564,7.7507,8.0081,7.7507,7.7507,4.004,3.8753,7.7507,4.004,7.7507,7.7507,8.0081,7.7507,7.7507,4.004,3.8753,7.7507,8.0081,7.7507,3.8753,8.0081,7.7507,7.7507,8.0081,7.7507,3.8753,4.004,7.7507,3.8753,6.1828,3.1558,6.1828,3.0914,6.3115,3.0914,6.1828,3.1558,6.1828,3.0914,6.3115,3.0914,6.1828,6.3115,6.1828,6.1828,6.3115,6.1828,6.1828,3.1558,3.0914,6.1828,6.3115,6.1828,6.1828,3.1558,3.0914,3.0914,3.1558,6.1828,3.0914,3.1558,7.7285,7.7285,7.7285,15.457,15.457,15.457,7.8894,15.779,6.3115,6.1828,3.0914,6.3115,6.1828,3.0914,3.1558,3.0914,3.0914,3.1558,6.1828,6.1828,11.045,7.7285,7.7285,15.457,10.82,3.1558,6.1828,3.0914,6.3115,6.1828,6.1828,6.3115,24.731,15.457,15.457,6.1828,6.3115,6.1828,6.1828,3.1558,3.0914,6.1828,3.1558,6.1828,6.1828,6.3115,6.1828,6.1828,3.1558,3.0914,6.1828,6.3115,6.1828,3.0914,6.3115,6.1828,6.1828,6.3115,6.1828,3.0914,3.1558,6.1828,3.0914
536,7.7227,3.9967,7.7227,3.8614,7.9934,3.8614,7.7227,3.9967,7.7227,3.8614,7.9934,3.8614,7.7227,7.9934,7.7227,7.7227,7.9934,7.7227,7.7227,3.9967,3.8614,7.7227,7.9934,7.7227,7.7227,3.9967,3.8614,3.8614,3.9967,7.7227,3.8614,3.9967,6.7574,6.7574,6.7574,13.515,13.515,13.515,6.9942,13.988,6.9942,7.7227,3.8614,7.9934,7.7227,3.8614,3.9967,3.8614,3.8614,3.9967,7.7227,7.7227,14.988,6.7574,6.7574,13.515,14.48,3.9967,7.7227,3.8614,7.9934,7.7227,7.7227,7.9934,20.272,13.515,13.515,7.7227,7.9934,7.7227,7.7227,3.9967,3.8614,7.7227,3.9967,7.7227,7.7227,7.9934,7.7227,7.7227,3.9967,3.8614,7.7227,7.9934,7.7227,3.8614,7.9934,7.7227,7.7227,7.9934,7.7227,3.8614,3.9967,7.7227,3.8614,6.1814,3.1584,6.1814,3.0907,6.3167,3.0907,6.1814,3.1584,6.1814,3.0907,6.3167,3.0907,6.1814,6.3167,6.1814,6.1814,6.3167,6.1814,6.1814,3.1584,3.0907,6.1814,6.3167,6.1814,6.1814,3.1584,3.0907,3.0907,3.1584,6.1814,3.0907,3.1584,7.7267,7.7267,7.7267,15.453,15.453,15.453,7.8959,15.792,6.3167,6.1814,3.0907,6.3167,6.1814,3.0907,3.1584,3.0907,3.0907,3.1584,6.1814,6.1814,11.054,7.7267,7.7267,15.453,10.817,3.1584,6.1814,3.0907,6.3167,6.1814,6.1814,6.3167,24.726,15.453,15.453,6.1814,6.3167,6.1814,6.1814,3.1584,3.0907,6.1814,3.1584,6.1814,6.1814,6.3167,6.1814,6.1814,3.1584,3.0907,6.1814,6.3167,6.1814,3.0907,6.3167,6.1814,6.1814,6.3167,6.1814,3.0907,3.1584,6.1814,3.0907
537,7.7492,3.9944,7.7492,3.8746,7.9888,3.8746,7.7492,3.9944,7.7492,3.8746,7.9888,3.8746,7.7492,7.9888,7.7492,7.7492,7.9888,7.7492,7.7492,3.9944,3.8746,7.7492,7.9888,7.7492,7.7492,3.9944,3.8746,3.8746,3.9944,7.7492,3.8746,3.9944,6.7806,6.7806,6.7806,13.561,13.561,13.561,6.9902,13.98,6.9902,7.7492,3.8746,7.9888,7.7492,3.8746,3.9944,3.8746,3.8746,3.9944,7.7492,7.7492,14.979,6.7806,6.7806,13.561,14.53,3.9944,7.7492,3.8746,7.9888,7.7492,7.7492,7.9888,20.342,13.561,13.561,7.7492,7.9888,7.7492,7.7492,3.9944,3.8746,7.7492,3.9944,7.7492,7.7492,7.9888,7.7492,7.7492,3.9944,3.8746,7.7492,7.9888,7.7492,3.8746,7.9888,7.7492,7.7492,7.9888,7.7492,3.8746,3.9944,7.7492,3.8746,6.2072,3.1635,6.2072,3.1036,6.327,3.1036,6.2072,3.1635,6.2072,3.1036,6.327,3.1036,6.2072,6.327,6.2072,6.2072,6.327,6.2072,6.2072,3.1635,3.1036,6.2072,6.327,6.2072,6.2072,3.1635,3.1036,3.1036,3.1635,6.2072,3.1036,3.1635,7.759,7.759,7.759,15.518,15.518,15.518,7.9087,15.817,6.327,6.2072,3.1036,6.327,6.2072,3.1036,3.1635,3.1036,3.1036,3.1635,6.2072,6.2072,11.072,7.759,7.759,15.518,10.863,3.1635,6.2072,3.1036,6.327,6.2072,6.2072,6.327,24.829,15.518,15.518,6.2072,6.327,6.2072,6.2072,3.1635,3.1036,6.2072,3.1635,6.2072,6.2072,6.327,6.2072,6.2072,3.1635,3.1036,6.2072,6.327,6.2072,3.1036,6.327,6.2072,6.2072,6.327,6.2072,3.1036,3.1635,6.2072,3.1036
538,7.8346,3.4435,7.8346,3.9173,6.887,3.9173,7.8346,3.4435,7.8346,3.9173,6.887,3.9173,7.8346,6.887,7.8346,7.8346,6.887,7.8346,7.8346,3.4435,3.9173,7.8346,6.887,7.8346,7.8346,3.4435,3.9173,3.9173,3.4435,7.8346,3.9173,3.4435,6.8552,6.8552,6.8552,13.71,13.71,13.71,6.0261,12.052,6.0261,7.8346,3.9173,6.887,7.8346,3.9173,3.4435,3.9173,3.9173,3.4435,7.8346,7.8346,12.913,6.8552,6.8552,13.71,14.69,3.4435,7.8346,3.9173,6.887,7.8346,7.8346,6.887,20.566,13.71,13.71,7.8346,6.887,7.8346,7.8346,3.4435,3.9173,7.8346,3.4435,7.8346,7.8346,6.887,7.8346,7.8346,3.4435,3.9173,7.8346,6.887,7.8346,3.9173,6.887,7.8346,7.8346,6.887,7.8346,3.9173,3.4435,7.8346,3.9173,6.2624,2.8943,6.2624,3.1312,5.7886,3.1312,6.2624,2.8943,6.2624,3.1312,5.7886,3.1312,6.2624,5.7886,6.2624,6.2624,5.7886,6.2624,6.2624,2.8943,3.1312,6.2624,5.7886,6.2624,6.2624,2.8943,3.1312,3.1312,2.8943,6.2624,3.1312,2.8943,7.828,7.828,7.828,15.656,15.656,15.656,7.2357,14.471,5.7886,6.2624,3.1312,5.7886,6.2624,3.1312,2.8943,3.1312,3.1312,2.8943,6.2624,6.2624,10.13,7.828,7.828,15.656,10.959,2.8943,6.2624,3.1312,5.7886,6.2624,6.2624,5.7886,25.05,15.656,15.656,6.2624,5.7886,6.2624,6.2624,2.8943,3.1312,6.2624,2.8943,6.2624,6.2624,5.7886,6.2624,6.2624,2.8943,3.1312,6.2624,5.7886,6.2624,3.1312,5.7886,6.2624,6.2624,5.7886,6.2624,3.1312,2.8943,6.2624,3.1312
539,7.7148,3.2048,7.7148,3.8574,6.4096,3.8574,7.7148,3.2048,7.7148,3.8574,6.4096,3.8574,7.7148,6.4096,7.7148,7.7148,6.4096,7.7148,7.7148,3.2048,3.8574,7.7148,6.4096,7.7148,7.7148,3.2048,3.8574,3.8574,3.2048,7.7148,3.8574,3.2048,6.7505,6.7505,6.7505,13.501,13.501,13.501,5.6084,11.217,5.6084,7.7148,3.8574,6.4096,7.7148,3.8574,3.2048,3.8574,3.8574,3.2048,7.7148,7.7148,12.018,6.7505,6.7505,13.501,14.465,3.2048,7.7148,3.8574,6.4096,7.7148,7.7148,6.4096,20.251,13.501,13.501,7.7148,6.4096,7.7148,7.7148,3.2048,3.8574,7.7148,3.2048,7.7148,7.7148,6.4096,7.7148,7.7148,3.2048,3.8574,7.7148,6.4096,7.7148,3.8574,6.4096,7.7148,7.7148,6.4096,7.7148,3.8574,3.2048,7.7148,3.8574,6.2151,2.7812,6.2151,3.1075,5.5624,3.1075,6.2151,2.7812,6.2151,3.1075,5.5624,3.1075,6.2151,5.5624,6.2151,6.2151,5.5624,6.2151,6.2151,2.7812,3.1075,6.2151,5.5624,6.2151,6.2151,2.7812,3.1075,3.1075,2.7812,6.2151,3.1075,2.7812,7.7688,7.7688,7.7688,15.538,15.538,15.538,6.9531,13.906,5.5624,6.2151,3.1075,5.5624,6.2151,3.1075,2.7812,3.1075,3.1075,2.7812,6.2151,6.2151,9.7343,7.7688,7.7688,15.538,10.876,2.7812,6.2151,3.1075,5.5624,6.2151,6.2151,5.5624,24.86,15.538,15.538,6.2151,5.5624,6.2151,6.2151,2.7812,3.1075,6.2151,2.7812,6.2151,6.2151,5.5624,6.2151,6.2151,2.7812,3.1075,6.2151,5.5624,6.2151,3.1075,5.5624,6.2151,6.2151,5.5624,6.2151,3.1075,2.7812,6.2151,3.1075
540,7.5519,3.1489,7.5519,3.776,6.2979,3.776,7.5519,3.1489,7.5519,3.776,6.2979,3.776,7.5519,6.2979,7.5519,7.5519,6.2979,7.5519,7.5519,3.1489,3.776,7.5519,6.2979,7.5519,7.5519,3.1489,3.776,3.776,3.1489,7.5519,3.776,3.1489,6.6079,6.6079,6.6079,13.216,13.216,13.216,5.5107,11.021,5.5107,7.5519,3.776,6.2979,7.5519,3.776,3.1489,3.776,3.776,3.1489,7.5519,7.5519,11.809,6.6079,6.6079,13.216,14.16,3.1489,7.5519,3.776,6.2979,7.5519,7.5519,6.2979,19.824,13.216,13.216,7.5519,6.2979,7.5519,7.5519,3.1489,3.776,7.5519,3.1489,7.5519,7.5519,6.2979,7.5519,7.5519,3.1489,3.776,7.5519,6.2979,7.5519,3.776,6.2979,7.5519,7.5519,6.2979,7.5519,3.776,3.1489,7.5519,3.776,6.1462,2.7596,6.1462,3.0731,5.5192,3.0731,6.1462,2.7596,6.1462,3.0731,5.5192,3.0731,6.1462,5.5192,6.1462,6.1462,5.5192,6.1462,6.1462,2.7596,3.0731,6.1462,5.5192,6.1462,6.1462,2.7596,3.0731,3.0731,2.7596,6.1462,3.0731,2.7596,7.6827,7.6827,7.6827,15.365,15.365,15.365,6.8989,13.798,5.5192,6.1462,3.0731,5.5192,6.1462,3.0731,2.7596,3.0731,3.0731,2.7596,6.1462,6.1462,9.6585,7.6827,7.6827,15.365,10.756,2.7596,6.1462,3.0731,5.5192,6.1462,6.1462,5.5192,24.585,15.365,15.365,6.1462,5.5192,6.1462,6.1462,2.7596,3.0731,6.1462,2.7596,6.1462,6.1462,5.5192,6.1462,6.1462,2.7596,3.0731,6.1462,5.5192,6.1462,3.0731,5.5192,6.1462,6.1462,5.5192,6.1462,3.0731,2.7596,6.1462,3.0731
541,7.703,3.1418,7.703,3.8515,6.2836,3.8515,7.703,3.1418,7.703,3.8515,6.2836,3.8515,7.703,6.2836,7.703,7.703,6.2836,7.703,7.703,3.1418,3.8515,7.703,6.2836,7.703,7.703,3.1418,3.8515,3.8515,3.1418,7.703,3.8515,3.1418,6.7401,6.7401,6.7401,13.48,13.48,13.48,5.4982,10.996,5.4982,7.703,3.8515,6.2836,7.703,3.8515,3.1418,3.8515,3.8515,3.1418,7.703,7.703,11.782,6.7401,6.7401,13.48,14.443,3.1418,7.703,3.8515,6.2836,7.703,7.703,6.2836,20.22,13.48,13.48,7.703,6.2836,7.703,7.703,3.1418,3.8515,7.703,3.1418,7.703,7.703,6.2836,7.703,7.703,3.1418,3.8515,7.703,6.2836,7.703,3.8515,6.2836,7.703,7.703,6.2836,7.703,3.8515,3.1418,7.703,3.8515,6.2343,2.7623,6.2343,3.1171,5.5246,3.1171,6.2343,2.7623,6.2343,3.1171,5.5246,3.1171,6.2343,5.5246,6.2343,6.2343,5.5246,6.2343,6.2343,2.7623,3.1171,6.2343,5.5246,6.2343,6.2343,2.7623,3.1171,3.1171,2.7623,6.2343,3.1171,2.7623,7.7928,7.7928,7.7928,15.586,15.586,15.586,6.9057,13.811,5.5246,6.2343,3.1171,5.5246,6.2343,3.1171,2.7623,3.1171,3.1171,2.7623,6.2343,6.2343,9.668,7.7928,7.7928,15.586,10.91,2.7623,6.2343,3.1171,5.5246,6.2343,6.2343,5.5246,24.937,15.586,15.586,6.2343,5.5246,6.2343,6.2343,2.7623,3.1171,6.2343,2.7623,6.2343,6.2343,5.5246,6.2343,6.2343,2.7623,3.1171,6.2343,5.5246,6.2343,3.1171,5.5246,6.2343,6.2343,5.5246,6.2343,3.1171,2.7623,6.2343,3.1171
542,7.5514,3.4512,7.5514,3.7757,6.9023,3.7757,7.5514,3.4512,7.5514,3.7757,6.9023,3.7757,7.5514,6.9023,7.5514,7.5514,6.9023,7.5514,7.5514,3.4512,3.7757,7.5514,6.9023,7.5514,7.5514,3.4512,3.7757,3.7757,3.4512,7.5514,3.7757,3.4512,6.6074,6.6074,6.6074,13.215,13.215,13.215,6.0395,12.079,6.0395,7.5514,3.7757,6.9023,7.5514,3.7757,3.4512,3.7757,3.7757,3.4512,7.5514,7.5514,12.942,6.6074,6.6074,13.215,14.159,3.4512,7.5514,3.7757,6.9023,7.5514,7.5514,6.9023,19.822,13.215,13.215,7.5514,6.9023,7.5514,7.5514,3.4512,3.7757,7.5514,3.4512,7.5514,7.5514,6.9023,7.5514,7.5514,3.4512,3.7757,7.5514,6.9023,7.5514,3.7757,6.9023,7.5514,7.5514,6.9023,7.5514,3.7757,3.4512,7.5514,3.7757,6.1944,2.9349,6.1944,3.0972,5.8699,3.0972,6.1944,2.9349,6.1944,3.0972,5.8699,3.0972,6.1944,5.8699,6.1944,6.1944,5.8699,6.1944,6.1944,2.9349,3.0972,6.1944,5.8699,6.1944,6.1944,2.9349,3.0972,3.0972,2.9349,6.1944,3.0972,2.9349,7.743,7.743,7.743,15.486,15.486,15.486,7.3374,14.675,5.8699,6.1944,3.0972,5.8699,6.1944,3.0972,2.9349,3.0972,3.0972,2.9349,6.1944,6.1944,10.272,7.743,7.743,15.486,10.84,2.9349,6.1944,3.0972,5.8699,6.1944,6.1944,5.8699,24.778,15.486,15.486,6.1944,5.8699,6.1944,6.1944,2.9349,3.0972,6.1944,2.9349,6.1944,6.1944,5.8699,6.1944,6.1944,2.9349,3.0972,6.1944,5.8699,6.1944,3.0972,5.8699,6.1944,6.1944,5.8699,6.1944,3.0972,2.9349,6.1944,3.0972
543,7.3473,3.4461,7.3473,3.6736,6.8921,3.6736,7.3473,3.4461,7.3473,3.6736,6.8921,3.6736,7.3473,6.8921,7.3473,7.3473,6.8921,7.3473,7.3473,3.4461,3.6736,7.3473,6.8921,7.3473,7.3473,3.4461,3.6736,3.6736,3.4461,7.3473,3.6736,3.4461,6.4289,6.4289,6.4289,12.858,12.858,12.858,6.0306,12.061,6.0306,7.3473,3.6736,6.8921,7.3473,3.6736,3.4461,3.6736,3.6736,3.4461,7.3473,7.3473,12.923,6.4289,6.4289,12.858,13.776,3.4461,7.3473,3.6736,6.8921,7.3473,7.3473,6.8921,19.287,12.858,12.858,7.3473,6.8921,7.3473,7.3473,3.4461,3.6736,7.3473,3.4461,7.3473,7.3473,6.8921,7.3473,7.3473,3.4461,3.6736,7.3473,6.8921,7.3473,3.6736,6.8921,7.3473,7.3473,6.8921,7.3473,3.6736,3.4461,7.3473,3.6736,6.1284,2.9504,6.1284,3.0642,5.9008,3.0642,6.1284,2.9504,6.1284,3.0642,5.9008,3.0642,6.1284,5.9008,6.1284,6.1284,5.9008,6.1284,6.1284,2.9504,3.0642,6.1284,5.9008,6.1284,6.1284,2.9504,3.0642,3.0642,2.9504,6.1284,3.0642,2.9504,7.6604,7.6604,7.6604,15.321,15.321,15.321,7.376,14.752,5.9008,6.1284,3.0642,5.9008,6.1284,3.0642,2.9504,3.0642,3.0642,2.9504,6.1284,6.1284,10.326,7.6604,7.6604,15.321,10.725,2.9504,6.1284,3.0642,5.9008,6.1284,6.1284,5.9008,24.513,15.321,15.321,6.1284,5.9008,6.1284,6.1284,2.9504,3.0642,6.1284,2.9504,6.1284,6.1284,5.9008,6.1284,6.1284,2.9504,3.0642,6.1284,5.9008,6.1284,3.0642,5.9008,6.1284,6.1284,5.9008,6.1284,3.0642,2.9504,6.1284,3.0642
